part,attack,flagged,reasons
block,none,False,
block,none,False,
block,none,False,
block,none,True,layer_count_or_height
block,none,True,layer_count_or_height
block,none,True,temperature
block,none,False,
block,none,False,
block,none,False,
block,infill_reduction,True,extrusion_rate;infill;missing_extrusion
block,void_insertion,False,
block,layer_height_change,True,layer_count_or_height
block,temperature_shift,True,temperature
block,scaling,True,dimensions
block,under_extrusion,True,extrusion_rate
block,toolpath_jitter,True,toolpath_noise
block,infill_reduction,True,extrusion_rate;infill;missing_extrusion
block,void_insertion,True,missing_extrusion
block,layer_height_change,True,layer_count_or_height
block,temperature_shift,True,temperature
block,scaling,True,dimensions
block,under_extrusion,True,extrusion_rate
block,toolpath_jitter,True,toolpath_noise
block,infill_reduction,True,extrusion_rate;infill;missing_extrusion
block,void_insertion,False,
block,layer_height_change,True,layer_count_or_height
block,temperature_shift,True,temperature
block,scaling,True,dimensions
block,under_extrusion,True,extrusion_rate
block,toolpath_jitter,True,toolpath_noise
bracket,none,False,
bracket,none,False,
bracket,none,False,
bracket,none,True,layer_count_or_height
bracket,none,True,layer_count_or_height
bracket,none,True,temperature
bracket,none,False,
bracket,none,False,
bracket,none,False,
bracket,infill_reduction,True,extrusion_rate;infill;missing_extrusion
bracket,void_insertion,True,missing_extrusion
bracket,layer_height_change,True,layer_count_or_height
bracket,temperature_shift,True,temperature
bracket,scaling,True,dimensions
bracket,under_extrusion,True,extrusion_rate
bracket,toolpath_jitter,True,toolpath_noise
bracket,infill_reduction,True,extrusion_rate;infill;missing_extrusion
bracket,void_insertion,True,missing_extrusion
bracket,layer_height_change,True,layer_count_or_height
bracket,temperature_shift,True,temperature
bracket,scaling,True,dimensions
bracket,under_extrusion,True,extrusion_rate
bracket,toolpath_jitter,True,toolpath_noise
bracket,infill_reduction,True,extrusion_rate;infill;missing_extrusion
bracket,void_insertion,True,missing_extrusion
bracket,layer_height_change,True,layer_count_or_height
bracket,temperature_shift,True,temperature
bracket,scaling,True,dimensions
bracket,under_extrusion,True,extrusion_rate
bracket,toolpath_jitter,True,toolpath_noise
dogbone,none,False,
dogbone,none,False,
dogbone,none,False,
dogbone,none,True,layer_count_or_height
dogbone,none,True,layer_count_or_height
dogbone,none,True,temperature
dogbone,none,False,
dogbone,none,False,
dogbone,none,False,
dogbone,infill_reduction,True,extrusion_rate;infill
dogbone,void_insertion,True,missing_extrusion
dogbone,layer_height_change,True,layer_count_or_height
dogbone,temperature_shift,True,temperature
dogbone,scaling,True,dimensions
dogbone,under_extrusion,True,extrusion_rate
dogbone,toolpath_jitter,True,toolpath_noise
dogbone,infill_reduction,True,extrusion_rate;infill
dogbone,void_insertion,True,missing_extrusion
dogbone,layer_height_change,True,layer_count_or_height
dogbone,temperature_shift,True,temperature
dogbone,scaling,True,dimensions
dogbone,under_extrusion,True,extrusion_rate
dogbone,toolpath_jitter,True,toolpath_noise
dogbone,infill_reduction,True,extrusion_rate;infill
dogbone,void_insertion,True,missing_extrusion
dogbone,layer_height_change,True,layer_count_or_height
dogbone,temperature_shift,True,temperature
dogbone,scaling,True,dimensions
dogbone,under_extrusion,True,extrusion_rate
dogbone,toolpath_jitter,True,toolpath_noise
grid_plate,none,False,
grid_plate,none,False,
grid_plate,none,False,
grid_plate,none,True,layer_count_or_height
grid_plate,none,True,layer_count_or_height
grid_plate,none,True,temperature
grid_plate,none,False,
grid_plate,none,False,
grid_plate,none,False,
grid_plate,infill_reduction,True,extrusion_rate;infill
grid_plate,void_insertion,True,missing_extrusion
grid_plate,layer_height_change,True,layer_count_or_height
grid_plate,temperature_shift,True,temperature
grid_plate,scaling,True,dimensions
grid_plate,under_extrusion,True,extrusion_rate
grid_plate,toolpath_jitter,True,toolpath_noise
grid_plate,infill_reduction,True,extrusion_rate;infill
grid_plate,void_insertion,True,missing_extrusion
grid_plate,layer_height_change,True,layer_count_or_height
grid_plate,temperature_shift,True,temperature
grid_plate,scaling,True,dimensions
grid_plate,under_extrusion,True,extrusion_rate
grid_plate,toolpath_jitter,True,toolpath_noise
grid_plate,infill_reduction,True,extrusion_rate;infill
grid_plate,void_insertion,False,
grid_plate,layer_height_change,True,layer_count_or_height
grid_plate,temperature_shift,True,temperature
grid_plate,scaling,True,dimensions
grid_plate,under_extrusion,True,extrusion_rate
grid_plate,toolpath_jitter,True,toolpath_noise
tube,none,False,
tube,none,False,
tube,none,False,
tube,none,True,layer_count_or_height
tube,none,True,layer_count_or_height
tube,none,True,temperature
tube,none,False,
tube,none,False,
tube,none,False,
tube,layer_height_change,True,layer_count_or_height
tube,temperature_shift,True,temperature
tube,scaling,True,dimensions
tube,under_extrusion,True,extrusion_rate
tube,layer_height_change,True,layer_count_or_height
tube,temperature_shift,True,temperature
tube,scaling,True,dimensions
tube,under_extrusion,True,extrusion_rate
tube,layer_height_change,True,layer_count_or_height
tube,temperature_shift,True,temperature
tube,scaling,True,dimensions
tube,under_extrusion,True,extrusion_rate
